name,root,iterations,time,absolute error,relative error
secant,1.9999999995241151,4,1.1444091796875e-05,4.758848870523025e-10,2.3794244352615124e-10
brent,1.999999999994301,28,6.818771362304688e-05,5.6989968300058536e-12,2.8494984150029268e-12
bisection,2.429285407036728,1,1.0251998901367188e-05,0.429285407036728,0.214642703518364
false_position,1.9999999990228678,10,2.3603439331054688e-05,9.771321529683519e-10,4.885660764841759e-10
fixed_point,2.000000003138886,46,2.5987625122070312e-05,3.138886039977251e-09,1.5694430199886256e-09
newton,2.0,4,1.2636184692382812e-05,0.0,0.0
secant,1.9999999999576923,4,2.6702880859375e-05,4.230771288860069e-11,2.1153856444300345e-11
brent,1.9999999998791276,26,6.985664367675781e-05,1.2087242318159497e-10,6.043621159079748e-11
bisection,2.2072123070171887,1,2.6226043701171875e-05,0.20721230701718873,0.10360615350859437
false_position,1.9999999995262232,10,1.3589859008789062e-05,4.737767955731442e-10,2.368883977865721e-10
fixed_point,2.0000000035543883,44,1.3589859008789062e-05,3.5543883392108455e-09,1.7771941696054228e-09
newton,2.000000000031513,3,1.2159347534179688e-05,3.1513014420170293e-11,1.5756507210085147e-11
secant,2.0000000000001146,5,1.239776611328125e-05,1.1457501614131615e-13,5.728750807065808e-14
brent,2.0,26,6.437301635742188e-05,0.0,0.0
bisection,1.8434162364474906,1,5.4836273193359375e-06,0.15658376355250936,0.07829188177625468
false_position,1.9999999996826674,10,1.7881393432617188e-05,3.173326046379543e-10,1.5866630231897716e-10
fixed_point,1.9999999971123168,44,2.47955322265625e-05,2.8876832036672795e-09,1.4438416018336397e-09
newton,2.000000000006031,3,1.049041748046875e-05,6.0311755589737e-12,3.01558777948685e-12
secant,2.000000000653385,5,1.2636184692382812e-05,6.533849017387183e-10,3.2669245086935916e-10
brent,2.0,20,5.125999450683594e-05,0.0,0.0
bisection,2.019990186686226,1,8.821487426757812e-06,0.019990186686225986,0.009995093343112993
false_position,1.9999999999003253,5,1.33514404296875e-05,9.967471292782193e-11,4.9837356463910965e-11
fixed_point,1.9999999972989981,39,1.1920928955078125e-05,2.7010018666118185e-09,1.3505009333059093e-09
newton,2.000000001257631,2,9.059906005859375e-06,1.2576308883183174e-09,6.288154441591587e-10
secant,1.999999998134734,3,1.0251998901367188e-05,1.865265941702887e-09,9.326329708514436e-10
brent,1.9999999999903602,26,5.7697296142578125e-05,9.63984447821531e-12,4.819922239107655e-12
bisection,1.548844770400848,1,5.9604644775390625e-06,0.4511552295991521,0.22557761479957605
false_position,1.9999999982149468,5,1.0728836059570312e-05,1.7850532163521393e-09,8.925266081760697e-10
fixed_point,1.999999996062714,46,1.3589859008789062e-05,3.937286052746458e-09,1.968643026373229e-09
newton,2.000000000000001,4,9.5367431640625e-06,8.881784197001252e-16,4.440892098500626e-16
secant,1.9999999999993519,5,1.049041748046875e-05,6.481482017761664e-13,3.240741008880832e-13
brent,1.548844770400848,26,6.890296936035156e-05,0.4511552295991521,0.22557761479957605
bisection,2.217951254553147,1,9.059906005859375e-06,0.2179512545531468,0.1089756272765734
false_position,1.9999999987034787,7,1.5735626220703125e-05,1.2965213347371218e-09,6.482606673685609e-10
fixed_point,2.000000003730903,44,1.3113021850585938e-05,3.730903141985209e-09,1.8654515709926045e-09
newton,2.0000000000463114,3,8.821487426757812e-06,4.631139916000393e-11,2.3155699580001965e-11
secant,1.999999999999934,4,1.0251998901367188e-05,6.59472476627343e-14,3.297362383136715e-14
brent,1.9999999999591205,27,6.079673767089844e-05,4.087952198972289e-11,2.0439760994861444e-11
bisection,1.9999999974032239,27,2.9325485229492188e-05,2.596776127461453e-09,1.2983880637307266e-09
false_position,1.999999999654963,11,3.0040740966796875e-05,3.450371099944505e-10,1.7251855499722524e-10
fixed_point,2.0000000030898994,46,1.6689300537109375e-05,3.0898994474171104e-09,1.5449497237085552e-09
newton,2.0,4,9.5367431640625e-06,0.0,0.0
secant,1.999999999999946,5,1.0251998901367188e-05,5.395683899678261e-14,2.6978419498391304e-14
brent,1.9999999974032239,28,8.440017700195312e-05,2.596776127461453e-09,1.2983880637307266e-09
bisection,2.000000001392678,27,2.47955322265625e-05,1.3926779729445116e-09,6.963389864722558e-10
false_position,1.9999999989111925,10,3.123283386230469e-05,1.088807488613952e-09,5.44403744306976e-10
fixed_point,2.000000003095336,46,1.4066696166992188e-05,3.095335987524095e-09,1.5476679937620474e-09
newton,2.0,4,1.049041748046875e-05,0.0,0.0
secant,1.9999999999999922,5,1.0251998901367188e-05,7.771561172376096e-15,3.885780586188048e-15
brent,2.000000001392678,28,5.602836608886719e-05,1.3926779729445116e-09,6.963389864722558e-10
bisection,1.9999999999446776,26,4.9114227294921875e-05,5.532241331707155e-11,2.7661206658535775e-11
false_position,1.999999999394018,8,3.6716461181640625e-05,6.059819313009029e-10,3.0299096565045147e-10
fixed_point,2.0000000034018686,45,1.7404556274414062e-05,3.4018685646231006e-09,1.7009342823115503e-09
newton,2.000000000566698,3,1.1444091796875e-05,5.666977997975664e-10,2.833488998987832e-10
secant,1.9999999999984857,5,1.430511474609375e-05,1.5143442055887135e-12,7.571721027943568e-13
brent,1.9999999999399258,27,9.250640869140625e-05,6.007416786246722e-11,3.003708393123361e-11
bisection,1.7111638141971732,1,7.3909759521484375e-06,0.2888361858028268,0.1444180929014134
false_position,1.9999999998722506,8,2.765655517578125e-05,1.277493666407281e-10,6.387468332036406e-11
fixed_point,2.0000000036507894,45,1.3589859008789062e-05,3.6507894485282577e-09,1.8253947242641289e-09
newton,2.000000000997957,3,9.775161743164062e-06,9.979568282858509e-10,4.989784141429254e-10
secant,2.0000000000139893,5,1.0967254638671875e-05,1.3989254199486822e-11,6.994627099743411e-12
brent,2.0,20,5.1975250244140625e-05,0.0,0.0
bisection,1.2984350376497455,1,5.245208740234375e-06,0.7015649623502545,0.3507824811751272
false_position,1.9999999997321654,7,1.1682510375976562e-05,2.6783464335267126e-10,1.3391732167633563e-10
fixed_point,1.9999999971203009,48,1.33514404296875e-05,2.87969914580799e-09,1.439849572903995e-09
